ASN,Entity
612,"US | PRECISIONTECH - PRECISION TECHNOLOGY Inc,US"
714,"Apple"
1442,"SureHosting Internet Solutions, Inc."
2554,"IDC Frontier Inc."
2635,"Automattic"
2639,"ZOHO-AS"
2818,"BBC Internet Services, UK"
3064,"Affinity Internet, Inc"
3170,"Etheroute Ltd"
3188,"Alastyr Telekomunikasyon A.S."
3210,"Secure Data Systems SRL"
3214,"xTom GmbH"
3223,"VOXILITY, RO"
3242,"ITnet S.r.l."
3396,"US | EGG - T G & A"
3502,"US | INTNET"
3563,"US | PILOT-ASN - Pilot Network Services, Inc,US"
3598,"Microsoft Corporation"
3700,"CLOUD9 - Cloud 9 Internet, Inc., US"
3722,"Tranquil Hosting, Inc."
3791,"US | VCHS-AS - Via Christi Health System, Inc., US"
3842,"InMotion Hosting, Inc."
3900,"YHC Corporation"
3904,"US | ASTHOUGHTPRT - ThoughtPort inc., US"
4250,"ALENT-ASN-1 - Alentus Corporation, US"
4323,"TWTC - tw telecom holdings, inc., US"
4583,"West Publishing Corporation"
4640,"AT | The Internetworking Corporation, Hong Kong"
4694,"IDC Frontier Inc."
4758,"National Informatics Centre"
4785,"xTom"
4842,"Tianhai InfoTech"
4851,"Host Networks"
5041,"AS-CLOUDKLEYER - cloudKleyer Canada Corp., CA"
5048,"FIBERNET Corp."
5430,"freenet Datenkommunikations GmbH"
5517,"CSL Computer Service Langenbach GmbH"
5539,"SpaceNET AG"
5541,"IL | INVITE Systems SRL"
5577,"ROOT, LU"
5602,"IRIDEOS S.P.A."
5639,"Telecommunication Services of Trinidad and Tobago"
5693,"Latisys-Irvine, LLC"
5755,"US | QNETIX-AS"
5784,"US | GETNET - Getnet International, US"
6134,"XNNET LLC"
6188,"VPS Datacenter, LLC"
6218,"US | MIBX - MIBX, Inc., US"
6295,"Lunavi, Inc."
6364,"ATLANTIC-NET-1 - Atlantic.net, Inc., US"
6428,"CDM - CDM, US"
6560,"ZA | GEM Internet Company (Pty) LTD"
6603,"US | CottonWood CyberVentures"
6659,"PlusServer GmbH"
6696,"VERIXI - VERIXI SA, BE"
6718,"NAV DATACENTER TELECOM SRL"
6724,"STRATO STRATO AG, DE"
6729,"LV | SUNOKMAN-AS, LV"
6738,"DRI SAS"
6870,"H1ASN, RU"
6903,"Rusonyx, Ltd."
7052,"US | Hi-Tech Services, Inc."
7156,"BR | AGATE2 - Agate Internet Services, Inc.,US"
7158,"US | NETFEED-AS - NetEx Online Services, US"
7203,"LEASEWEB-USA-SFO-12 - Leaseweb USA, Inc., US"
7259,"US | net.Genesis Corp"
7289,"US | Platinum Internet Group"
7296,"Alchemy Communications, Inc."
7309,"US | The Virtual Marketing Corporation"
7337,"US | Southern NJ Internet Providers"
7349,"Windstream Hosted Solutions, LLC"
7393,"CYBERCON"
7455,"US | MOTO-INT1-AS - Motorists Mutual Insurance Company,US"
7489,"HOSTUS-GLOBAL-AS HostUS, HK"
7496,"ARQ GROUP ENTERPRISE PTY LTD"
7506,"GMO Internet,Inc"
7514,"Computer Engineering & Consulting, Ltd."
7540,"HongKong Commercial Internet Exchange"
7544,"US | COMCLARK-IXG ComClark Network & Technology Corp,PH"
7595,"Readyspace Network Pte Ltd, Hosted Solutions Provider,Singapore"
7598,"Websense Hosted Security - AsiaPac region"
7655,"US | TWNAP-ADMIN-AS-AP Peering AS,TW"
7678,"Prox System Design Inc."
7684,"SAKURA Internet Inc."
7753,"ipHouse"
7792,"3M Company"
7819,"Global IP Networks INC"
7827,"US | American Business Information"
7850,"CITYLINKFIBER - iHighway.net, Inc., US"
7859,"Server Central Network"
7880,"AT | NEURAL-AS - Neural Applications,US"
7883,"US | UNITEDSYSTEMSACCESS - United Systems Access, US"
7907,"US | Networldtron Corp"
7918,"US | Larkom"
7979,"SERVERS - Servers.com, Inc., US"
8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US"
8095,"EU | NETVALUE - Netvalue, Inc., US"
8100,"ASN-QUADRANET-GLOBAL - QuadraNet, Inc, US"
8219,"RU | EXPERT-TELECOM-AS _IC_Expert_ Company Limited"
8280,"SYNAPSECOM S.A. Provider of Telecommunications and Internet Services"
8304,"ISP and web hosting."
8312,"Bas Smit trading as Zylon"
8315,"Sentia Netherlands BV"
8342,"JSC RTComm.RU"
8455,"ATOM86-AS ATOM86, NL"
8477,"ZTS Echostar Studio Poznan Poland"
8495,"Frankfurt-Munich-Stuttgart-Amsterdam-London"
8556,"Levantis Hosting GmbH"
8560,"1&amp;1 IONOS SE"
8622,"Namesco Limited"
8685,"Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S."
8697,"Jordan Telecom Group ( JTG )"
8739,"ICDSoft Ltd."
8741,"Ratiokontakt GmbH"
8875,"sinma GmbH"
8893,"Artfiles New Media GmbH"
8903,"Evolutio Cloud Enabler S.A. Unipersonal"
8943,"Jump Networks Ltd"
8972,"Host Europe GmbH"
9115,"Internet Names for Business"
9123,"TimeWeb Ltd."
9150,"InterConnect"
9166,"HostIT NV"
9211,"Nawork Internet Informationssysteme GmbH"
9268,"Over The Wire Pty Ltd"
9290,"GoHosting"
9308,"Abitcool(China) Inc."
9370,"SAKURA-B SAKURA Internet Inc., JP"
9371,"SAKURA Internet Inc."
9412,"Hostworks Content Delivery System"
9597,"KDDI Web Communications Inc."
9667,"Hostworks Pty Ltd"
9683,"KR | SK  Telecom"
9744,"XLC GLOBAL"
9802,"Abitcool(China) Inc."
9823,"Education Web Hosting"
9833,"Blinkload Technology Co., Ltd"
9891,"CS LOXINFO Public Company Limited."
9925,"Powerbase DataCenter Services (HK) Ltd."
9952,"Hostway IDC"
10105,"OMNIconnect Pty Ltd"
10114,"CN | ASIANET-AP PT.Medialintas Antar Buana, ID"
10122,"CN | Beijing Jiasheng Lianhua technical Co. Ltd"
10123,"CN | Guangzhou Tenmark Networks Technology Ltd"
10200,"Web hosting provider and ISP connectivity."
10207,"Interhost Pacific Pty Ltd t/a Intervolve."
10229,"Internet Content Provider"
10297,"ENET-2 - eNET Inc., US"
10439,"CARINET - CariNet, Inc., US"
10462,"US | Shadow Infromation Services"
10532,"Rackspace Hosting"
10704,"BR | ML Telecom"
10732,"TierraNet Inc."
10737,"US | BACTC - CellularONE, US"
10741,"CA | WAMNET - Wam Net Enterprises Inc.,US"
10765,"CLOUDNET-AS - CloudNet, US"
10843,"Advanced Internet Technologies"
10908,"CLOUDFLOORAS - CloudfloorDNS, US"
10929,"eStruxture Data Centers Inc."
10963,"US | Netragy LLC"
11029,"US | Border Technology, LLC"
11042,"NETWORK TRANSIT HOLDINGS LLC"
11051,"Evocative, Inc."
11114,"WINTEK-CORP - Wintek Corporation, US"
11230,"Managed Hosting Services, LLC"
11235,"Itron-Hosting"
11274,"Adhost Internet Advertising, LLC"
11282,"SERVERYOU INC"
11357,"InfoQuest Technologies, Inc."
11555,"Alpha Hosting, LLC"
11572,"US | PhoenixNap LLC"
11588,"HIGHWINDS - Highwinds Network Group, Inc., US"
11608,"Accretive Networks"
11734,"Connectria"
11754,"US | ORANGE COUNTY NETWORKS, LLC"
11831,"eSecureData"
11849,"US | ALTEC-IT - Altec IT, US"
11854,"US | Internap Hholding LLC"
11878,"TZULO - tzulo, inc., US"
11931,"US | Zenith Networking"
11989,"Jumpline Inc"
12179,"Internap Holding LLC"
12181,"Internap Holding LLC"
12182,"INTERNAP-2BLK"
12189,"US | PhoenixNap LLC"
12200,"Rackspace"
12260,"Colostore.com"
12337,"IT Service Provider located in Nuernberg, Germany"
12364,"GR | University of Macedonia, Economic and Social Sciences"
12488,"Krystal Hosting Ltd"
12506,"NL | Inspiring Networks BV"
12555,"Data-center IMAQLIQ Ltd."
12574,"Hosting.de GmbH"
12586,"ASGHOSTNET, DE"
12617,"Solido Hosting A/S"
12637,"SEEWEB s.r.l."
12676,"HKN GmbH"
12679,"LT | Sokolov Dmitry Nikolaevich"
12703,"Pulsant (Scotland) Ltd"
12720,"BG | BULGARIAONLINE , BG"
12779,"IT.Gate S.p.A."
12824,"home.pl S.A."
12859,"BIT BV"
12876,"AS12876, FR"
12989,"HWNG, NL"
12993,"SIA Digitalas Ekonomikas Attistibas Centrs"
131178,"OpenNet ISP Cambodia"
13209,"Atom Hosting SRL"
13213,"UK-2 Limited"
13238,"YANDEX LLC"
13287,"FALBOX S.L."
13332,"HYPEENT-SJ - Hype Enterprises, US"
13335,"Cloudflare"
13354,"zColo"
13389,"US | AZUKI"
13414,"Twitter Inc."
13438,"Vivio Technologies"
13445,"Cisco Webex LLC"
13537,"US | MEGACOLO - Mega Colocation, Inc., US"
13557,"US | NETIN - NetIn.com, Inc. Dallas Texas,US"
13647,"Tranquil Hosting, Inc."
13649,"Flexential Colorado Corp."
13737,"INCX Global, LLC"
13739,"DATACENTER-IP - Datacenter IP, LLC, US"
13767,"DataBank Holdings, Ltd."
13768,"Aptum Technologies"
13798,"US | BRIGHT - Brightfinity, LLC,US"
13886,"Cloud South"
13909,"Techie Hosting, Inc."
13911,"Tera-byte Dot Com Inc."
13916,"PROOFPOINT-UT7 - Proofpoint, Inc., US"
13926,"RBLHST-NY - Strong Technology, LLC., US"
13955,"Echostar Broadcasting Corporation"
14029,"ZW | DC Econet"
14061,"DIGITALOCEAN-ASN - Digital Ocean, Inc., US"
14116,"InternetNamesForBusiness.com"
14120,"IT Hosting Services, LLC."
14127,"ILAND - Iland Internet Solutions Corporation, US"
14135,"Navisite Opco LLC"
14141,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C., US"
14160,"Premium Hosting, Inc."
